id,sentiment
"12311_10",0.611504
"8348_2",0.393501
"5828_4",0.581521
"7186_2",0.524588
"12128_7",0.568686
"2913_8",0.586961
"4396_1",0.499176
"395_2",0.502602
"10616_1",0.417869
"9074_9",0.513179
"9252_3",0.403358
"9896_9",0.543687
"574_4",0.486011
"11182_8",0.543716
"11656_4",0.515731
"2322_4",0.521225
"8703_1",0.519937
"7483_1",0.461782
"6007_10",0.572238
"12424_4",0.401112
"4672_1",0.23282
"10841_3",0.500928
"8954_7",0.517383
"7392_1",0.400442
"10288_8",0.650272
"5343_4",0.407727
"4950_1",0.407922
"9257_4",0.518068
"8689_3",0.496036
"4480_2",0.399919
"9286_10",0.569521
"12245_10",0.627515
"7529_7",0.576204
"4_4",0.46925
"5299_2",0.421287
"12077_8",0.598894
"10701_2",0.462145
"11579_1",0.443578
"10993_1",0.44524
"8913_1",0.42605
"1350_3",0.465269
"3804_2",0.438318
"5025_3",0.482385
"5170_8",0.534342
"8225_8",0.579726
"6427_7",0.563416
"3165_3",0.495424
"7902_9",0.652426
"8208_3",0.420134
"3577_8",0.680993
"4865_1",0.364395
"9063_3",0.480575
"1106_1",0.487404
"1117_9",0.634959
"1050_4",0.507899
"10755_9",0.571238
"2729_8",0.604199
"10072_10",0.603335
"2904_7",0.634005
"4584_2",0.535668
"189_4",0.538316
"6302_4",0.421966
"8138_9",0.555336
"1262_1",0.446936
"2199_10",0.735291
"6551_7",0.568213
"8082_7",0.480389
"4897_8",0.746959
"7360_1",0.332011
"11012_10",0.571794
"12046_1",0.452394
"2331_2",0.499385
"8961_9",0.55309
"751_7",0.562434
"9884_10",0.513661
"10016_8",0.62764
"8023_10",0.551343
"2628_1",0.453494
"5832_1",0.386598
"7302_1",0.477861
"4501_3",0.487519
"1121_7",0.578068
"8334_3",0.513491
"9789_10",0.518313
"4230_10",0.532805
"824_4",0.467022
"6803_9",0.628923
"3086_7",0.579112
"1135_8",0.622159
"10136_1",0.372787
"11129_3",0.429949
"2072_8",0.532775
"9501_7",0.624579
"319_10",0.618476
"1693_7",0.537576
"10886_1",0.313304
"9406_8",0.58027
"10376_10",0.496203
"9902_1",0.451903
"9938_8",0.472632
"7080_9",0.625426
"11944_8",0.543756
"5249_1",0.366275
"9599_2",0.43969
"9620_1",0.504161
"11244_1",0.368029
"6841_10",0.531835
"10050_4",0.570048
"10512_9",0.541501
"11327_3",0.488819
"10681_8",0.540482
"808_3",0.505064
"546_7",0.602322
"10765_1",0.322592
"7189_9",0.511106
"6005_9",0.6347
"11915_9",0.591324
"5740_10",0.563028
"7097_10",0.51172
"9573_10",0.486494
"5084_4",0.456478
"12332_7",0.531127
"8154_1",0.42029
"5610_1",0.424514
"5323_9",0.519129
"11034_8",0.525865
"3977_2",0.507512
"12380_7",0.38881
"1737_8",0.569338
"6030_9",0.484855
"5918_7",0.582928
"7061_9",0.546109
"266_8",0.544047
"1375_10",0.647838
"8648_3",0.279976
"10146_10",0.637166
"4578_10",0.56621
"4685_8",0.638249
"11843_9",0.572711
"5467_10",0.637834
"10140_10",0.558082
"7721_8",0.624743
"11208_10",0.478617
"1063_10",0.623991
"8260_10",0.526273
"3182_9",0.557072
"2797_8",0.57704
"7613_2",0.546906
"11624_4",0.463119
"4847_10",0.543869
"10684_7",0.516423
"6312_1",0.531981
"4925_3",0.454795
"4125_1",0.376222
"2394_10",0.63296
"12105_10",0.583082
"7812_1",0.382709
"1061_8",0.633095
"9343_3",0.543126
"7696_10",0.610061
"9355_10",0.724154
"782_9",0.608738
"9882_10",0.609376
"10642_10",0.554097
"7410_2",0.442217
"9591_4",0.397629
"11902_3",0.437867
"3495_7",0.50573
"6733_1",0.441207
"4552_1",0.336464
"6722_1",0.474634
"188_10",0.537261
"5099_10",0.635957
"10313_1",0.466965
"6756_9",0.542055
"6622_2",0.405845
"4807_10",0.666263
"7173_3",0.477306
"11321_8",0.544326
"7909_9",0.5214
"8012_7",0.497408
"8615_4",0.457815
"8117_10",0.544939
"1892_10",0.582721
"4617_1",0.478914
"1893_8",0.564645
"5435_1",0.397988
"162_3",0.447224
"6516_10",0.689934
"11588_7",0.623946
"2006_1",0.38764
"1594_4",0.48791
"1472_1",0.444252
"3647_1",0.518499
"174_7",0.523344
"5539_7",0.486575
"3384_10",0.753012
"3811_4",0.553821
"4079_8",0.509232
"1179_7",0.514708
"3069_9",0.608601
"3769_8",0.539432
"9247_10",0.591376
"10434_1",0.394749
"1147_10",0.605222
"5344_7",0.550485
"8073_10",0.59841
"7833_3",0.406339
"8370_1",0.39344
"9007_8",0.478194
"6624_7",0.507678
"6683_3",0.470428
"12275_7",0.522536
"11927_8",0.589579
"1560_10",0.66712
"1325_9",0.531209
"3548_8",0.492557
"607_1",0.339011
"6702_7",0.544871
"5702_3",0.348918
"11345_8",0.565358
"3428_4",0.429412
"7209_9",0.595177
"8425_8",0.601663
"3087_1",0.456863
"1119_8",0.561786
"5715_3",0.48162
"8645_1",0.358483
"2149_3",0.421458
"10403_10",0.577582
"5628_1",0.463652
"5570_10",0.647385
"1613_3",0.366184
"1454_4",0.590329
"5094_3",0.452035
"7982_1",0.475881
"6894_2",0.488248
"6554_1",0.503074
"4721_3",0.481868
"6904_4",0.447736
"893_8",0.608826
"4605_4",0.492286
"11516_7",0.50221
"11718_7",0.656974
"5956_1",0.370447
"7455_9",0.569229
"6396_4",0.545821
"1223_8",0.578087
"8556_1",0.425642
"6108_8",0.559212
"11690_1",0.448375
"3778_9",0.508355
"3627_4",0.497081
"8256_4",0.519562
"533_1",0.379929
"5235_4",0.20611
"621_2",0.487323
"5365_1",0.526767
"8180_3",0.478854
"7396_7",0.407605
"9776_10",0.582645
"8175_10",0.622013
"3128_1",0.433304
"4606_1",0.500227
"6158_2",0.337147
"3281_10",0.589012
"4723_4",0.398643
"11994_3",0.448359
"7701_1",0.305042
"103_3",0.475964
"8908_10",0.552781
"8876_1",0.450285
"7519_9",0.591114
"12456_8",0.553105
"9514_8",0.590632
"8680_8",0.522861
"12402_10",0.53986
"362_2",0.484581
"9825_7",0.554815
"2913_3",0.476565
"7164_8",0.610688
"11177_7",0.570547
"5707_10",0.568175
"8103_10",0.60769
"6289_1",0.435
"11754_1",0.580082
"11640_10",0.537669
"9933_7",0.511111
"185_10",0.605992
"242_10",0.628847
"9369_8",0.601395
"7453_10",0.557886
"7514_7",0.49033
"10860_2",0.434069
"8663_8",0.52041
"9108_1",0.445105
"7941_1",0.455743
"10116_1",0.387484
"9841_4",0.440421
"4512_9",0.634101
"4853_2",0.470897
"2664_4",0.549669
"9966_10",0.578104
"5167_2",0.446384
"3894_2",0.275469
"3929_8",0.614858
"7165_10",0.587272
"5451_8",0.488469
"2947_4",0.474173
"4611_10",0.604296
"5807_1",0.444088
"9464_8",0.556084
"3124_10",0.570055
"2705_4",0.517185
"12187_8",0.569504
"12319_10",0.579674
"9874_3",0.44225
"3406_4",0.484261
"2327_10",0.557194
"605_10",0.570372
"8080_4",0.437766
"3074_10",0.595771
"2499_3",0.477548
"1013_1",0.500461
"11535_1",0.42272
"4118_7",0.521738
"10492_8",0.608256
"2129_4",0.409815
"9814_10",0.507032
"10671_9",0.472432
"5980_10",0.583545
"2755_2",0.516592
"5461_2",0.487598
"11979_1",0.420977
"8810_1",0.37919
"852_7",0.540356
"10961_4",0.299183
"7436_4",0.474142
"11281_3",0.516251
"4208_3",0.419359
"8213_10",0.533854
"9851_2",0.48353
"4713_7",0.524107
"9528_1",0.626795
"3595_10",0.635628
"5785_3",0.460174
"10370_3",0.404042
"1980_3",0.471792
"8800_4",0.51018
"4437_3",0.37406
"28_3",0.479512
"12171_1",0.433141
"9359_3",0.471332
"3831_9",0.667881
"10962_7",0.607563
"1500_9",0.495688
"11470_10",0.511049
"11843_3",0.449008
"11200_4",0.499658
"1067_1",0.424023
"3333_1",0.454049
"4487_4",0.569272
"6428_1",0.370476
"575_7",0.389391
"10904_9",0.582028
"11821_2",0.485857
"11605_1",0.423187
"1111_7",0.525504
"10295_1",0.50102
"1146_4",0.405503
"2405_9",0.529868
"11081_10",0.55295
"2201_10",0.6237
"4844_1",0.408378
"11007_8",0.550504
"6535_7",0.543575
"2653_4",0.47727
"8245_10",0.538577
"9951_8",0.533712
"6133_8",0.499982
"10006_2",0.387366
"7350_1",0.459575
"4509_9",0.685293
"948_1",0.473827
"3987_1",0.493452
"2947_10",0.429945
"6041_3",0.145252
"2946_1",0.439003
"11967_4",0.40405
"1185_10",0.585217
"10323_2",0.501162
"11706_2",0.318178
"3663_1",0.468427
"5602_10",0.608673
"4870_10",0.54086
"1994_1",0.414352
"10807_7",0.618922
"6871_3",0.569424
"1175_2",0.234076
"10919_7",0.59264
"8127_10",0.617369
"12497_4",0.423781
"3274_1",0.455593
"2568_3",0.514492
"840_2",0.219962
"5626_10",0.594516
"7561_10",0.58062
"4600_3",0.531979
"3324_9",0.510031
"8899_7",0.607373
"5592_8",0.592797
"12483_4",0.327377
"7874_1",0.324984
"5878_10",0.632249
"4303_9",0.534005
"9421_1",0.444916
"10269_4",0.511443
"10615_2",0.465892
"2634_10",0.611705
"7522_1",0.439376
"9289_10",0.570017
"4636_10",0.535314
"1241_7",0.516551
"9458_9",0.519719
"11690_10",0.583208
"7176_4",0.525109
"6212_10",0.553434
"6319_1",0.410922
"5229_3",0.46313
"466_9",0.658328
"8693_2",0.441985
"2952_10",0.561046
"1128_1",0.330329
"3975_10",0.547471
"11365_10",0.518052
"2074_9",0.598303
"9768_10",0.573301
"4895_1",0.393664
"5726_10",0.734121
"9993_10",0.564321
"11319_2",0.494255
"10561_2",0.4312
"5455_8",0.585319
"10684_3",0.468823
"3652_3",0.450547
"7825_1",0.462619
"8806_1",0.435263
"275_10",0.596006
"2246_1",0.32944
"11968_2",0.385899
"2528_1",0.486752
"8491_8",0.484787
"13_1",0.492318
